number:
('0室&南', 8)
('0室&暂', 1803)
('0室&西', 1)
('1室&东', 1254)
('1室&北', 1139)
('1室&南', 24506)
('1室&暂', 3591)
('1室&西', 947)
('2室&东', 1585)
('2室&北', 338)
('2室&南', 46278)
('2室&暂', 4297)
('2室&西', 1079)
('3室&东', 619)
('3室&北', 185)
('3室&南', 15374)
('3室&暂', 1390)
('3室&西', 430)
('4室&东', 105)
('4室&北', 176)
('4室&南', 2501)
('4室&暂', 230)
('4室&西', 73)
('5室及以上&东', 14)
('5室及以上&北', 69)
('5室及以上&南', 606)
('5室及以上&暂', 554)
('5室及以上&西', 17)
('车位&东', 30)
('车位&北', 7)
('车位&南', 164)
('车位&暂', 85)
('车位&西', 2)
Average area price:
('0室&南', 41708.125)
('0室&暂', 45360.74986134221)
('0室&西', 39787.0)
('1室&东', 44608.25917065391)
('1室&北', 36905.01404741001)
('1室&南', 45323.12466334775)
('1室&暂', 44031.97020328599)
('1室&西', 43533.04857444562)
('2室&东', 44909.18359621451)
('2室&北', 36735.97041420118)
('2室&南', 41567.90457668871)
('2室&暂', 37369.979753316264)
('2室&西', 46519.425393883226)
('3室&东', 44832.34410339257)
('3室&北', 41957.74054054054)
('3室&南', 41084.46181865487)
('3室&暂', 37595.29496402878)
('3室&西', 44459.80930232558)
('4室&东', 49398.64761904762)
('4室&北', 32262.5)
('4室&南', 44575.09956017593)
('4室&暂', 44026.72173913044)
('4室&西', 47343.53424657534)
('5室及以上&东', 44543.57142857143)
('5室及以上&北', 39865.85507246377)
('5室及以上&南', 59977.49339933993)
('5室及以上&暂', 32929.193140794225)
('5室及以上&西', 45642.470588235294)
('车位&东', 10320.366666666667)
('车位&北', 6316.857142857143)
('车位&南', 9872.859756097561)
('车位&暂', 14117.388235294118)
('车位&西', 10128.5)
Average transaction price:
('0室&南', 589.75)
('0室&暂', 362.30948419301166)
('0室&西', 850.0)
('1室&东', 216.41547049441786)
('1室&北', 142.46356453028972)
('1室&南', 206.49518485268914)
('1室&暂', 198.29044834307993)
('1室&西', 214.42555438225978)
('2室&东', 344.96466876971607)
('2室&北', 254.98816568047337)
('2室&南', 309.0815290202688)
('2室&暂', 274.63276704677685)
('2室&西', 371.7599629286376)
('3室&东', 606.5315024232633)
('3室&北', 611.2378378378378)
('3室&南', 491.6959802263562)
('3室&暂', 409.44604316546764)
('3室&西', 605.7418604651162)
('4室&东', 1007.6857142857143)
('4室&北', 733.6590909090909)
('4室&南', 846.8236705317872)
('4室&暂', 700.0652173913044)
('4室&西', 1048.3150684931506)
('5室及以上&东', 1247.0)
('5室及以上&北', 1289.840579710145)
('5室及以上&南', 1000.6683168316831)
('5室及以上&暂', 283.98375451263536)
('5室及以上&西', 1419.5882352941176)
('车位&东', 31.5)
('车位&北', 20.428571428571427)
('车位&南', 30.914634146341463)
('车位&暂', 47.588235294117645)
('车位&西', 31.5)
Average transaction cycle:
('0室&南', 818.375)
('0室&暂', 597.6833056017748)
('0室&西', 1542.0)
('1室&东', 546.2089314194577)
('1室&北', 452.80070237050046)
('1室&南', 355.5685954460132)
('1室&暂', 614.4121414647731)
('1室&西', 542.5649419218585)
('2室&东', 468.8731861198738)
('2室&北', 479.15384615384613)
('2室&南', 379.43515277237566)
('2室&暂', 590.2885734233186)
('2室&西', 551.5356811862836)
('3室&东', 635.7495961227787)
('3室&北', 748.8378378378378)
('3室&南', 506.50032522440483)
('3室&暂', 618.2352517985612)
('3室&西', 752.1302325581395)
('4室&东', 877.0095238095238)
('4室&北', 928.3579545454545)
('4室&南', 667.8156737305078)
('4室&暂', 716.4608695652174)
('4室&西', 941.917808219178)
('5室及以上&东', 699.0)
('5室及以上&北', 1000.9565217391304)
('5室及以上&南', 678.7970297029703)
('5室及以上&暂', 79.35379061371842)
('5室及以上&西', 826.0)
('车位&东', 37.8)
('车位&北', 21.857142857142858)
('车位&南', 25.878048780487806)
('车位&暂', 155.4)
('车位&西', 5.5)
Average listing price / transaction price:
('0室&南', 0.75)
('0室&暂', 0.9877981142540211)
('0室&西', 0.0)
('1室&东', 0.9688995215311005)
('1室&北', 1.4328358208955223)
('1室&南', 1.0862645882640987)
('1室&暂', 0.9735449735449735)
('1室&西', 0.9567053854276664)
('2室&东', 0.9968454258675079)
('2室&北', 1.029585798816568)
('2室&南', 1.1548035783741735)
('2室&暂', 1.3497789155224575)
('2室&西', 0.9731232622798888)
('3室&东', 0.9547657512116317)
('3室&北', 0.9675675675675676)
('3室&南', 1.2188109795759074)
('3室&暂', 1.5402877697841726)
('3室&西', 0.9604651162790697)
('4室&东', 0.9333333333333333)
('4室&北', 0.9488636363636364)
('4室&南', 0.9732107157137145)
('4室&暂', 0.9608695652173913)
('4室&西', 0.863013698630137)
('5室及以上&东', 1.0714285714285714)
('5室及以上&北', 0.9420289855072463)
('5室及以上&南', 0.971947194719472)
('5室及以上&暂', 0.9945848375451264)
('5室及以上&西', 0.8235294117647058)
('车位&东', 1.0333333333333334)
('车位&北', 1.0)
('车位&南', 1.0)
('车位&暂', 0.9294117647058824)
('车位&西', 1.0)
Average views:
('0室&南', 0.0)
('0室&暂', 0.0)
('0室&西', 0.0)
('1室&东', 5.863636363636363)
('1室&北', 6.450395083406497)
('1室&南', 8.143352648331021)
('1室&暂', 0.87468671679198)
('1室&西', 6.432946145723337)
('2室&东', 9.49968454258675)
('2室&北', 10.263313609467456)
('2室&南', 10.72438307619171)
('2室&暂', 1.4973237142192226)
('2室&西', 9.129749768303984)
('3室&东', 6.182552504038772)
('3室&北', 5.9837837837837835)
('3室&南', 9.178743332899701)
('3室&暂', 1.3683453237410073)
('3室&西', 5.920930232558139)
('4室&东', 4.904761904761905)
('4室&北', 1.4772727272727273)
('4室&南', 8.37704918032787)
('4室&暂', 1.5217391304347827)
('4室&西', 4.4520547945205475)
('5室及以上&东', 10.571428571428571)
('5室及以上&北', 0.2028985507246377)
('5室及以上&南', 6.245874587458746)
('5室及以上&暂', 0.26895306859205775)
('5室及以上&西', 19.0)
('车位&东', 0.8)
('车位&北', 0.14285714285714285)
('车位&南', 0.7073170731707317)
('车位&暂', 0.2)
('车位&西', 0.5)
Average price adjustment:
('0室&南', 0.0)
('0室&暂', 0.0)
('0室&西', 0.0)
('1室&东', 5.863636363636363)
('1室&北', 6.450395083406497)
('1室&南', 8.143352648331021)
('1室&暂', 0.87468671679198)
('1室&西', 6.432946145723337)
('2室&东', 9.49968454258675)
('2室&北', 10.263313609467456)
('2室&南', 10.72438307619171)
('2室&暂', 1.4973237142192226)
('2室&西', 9.129749768303984)
('3室&东', 6.182552504038772)
('3室&北', 5.9837837837837835)
('3室&南', 9.178743332899701)
('3室&暂', 1.3683453237410073)
('3室&西', 5.920930232558139)
('4室&东', 4.904761904761905)
('4室&北', 1.4772727272727273)
('4室&南', 8.37704918032787)
('4室&暂', 1.5217391304347827)
('4室&西', 4.4520547945205475)
('5室及以上&东', 10.571428571428571)
('5室及以上&北', 0.2028985507246377)
('5室及以上&南', 6.245874587458746)
('5室及以上&暂', 0.26895306859205775)
('5室及以上&西', 19.0)
('车位&东', 0.8)
('车位&北', 0.14285714285714285)
('车位&南', 0.7073170731707317)
('车位&暂', 0.2)
('车位&西', 0.5)
Average followers:
('0室&南', 0.0)
('0室&暂', 0.0)
('0室&西', 0.0)
('1室&东', 5.863636363636363)
('1室&北', 6.450395083406497)
('1室&南', 8.143352648331021)
('1室&暂', 0.87468671679198)
('1室&西', 6.432946145723337)
('2室&东', 9.49968454258675)
('2室&北', 10.263313609467456)
('2室&南', 10.72438307619171)
('2室&暂', 1.4973237142192226)
('2室&西', 9.129749768303984)
('3室&东', 6.182552504038772)
('3室&北', 5.9837837837837835)
('3室&南', 9.178743332899701)
('3室&暂', 1.3683453237410073)
('3室&西', 5.920930232558139)
('4室&东', 4.904761904761905)
('4室&北', 1.4772727272727273)
('4室&南', 8.37704918032787)
('4室&暂', 1.5217391304347827)
('4室&西', 4.4520547945205475)
('5室及以上&东', 10.571428571428571)
('5室及以上&北', 0.2028985507246377)
('5室及以上&南', 6.245874587458746)
('5室及以上&暂', 0.26895306859205775)
('5室及以上&西', 19.0)
('车位&东', 0.8)
('车位&北', 0.14285714285714285)
('车位&南', 0.7073170731707317)
('车位&暂', 0.2)
('车位&西', 0.5)
Average pageviews:
('0室&南', 0.0)
('0室&暂', 0.0)
('0室&西', 0.0)
('1室&东', 5.863636363636363)
('1室&北', 6.450395083406497)
('1室&南', 8.143352648331021)
('1室&暂', 0.87468671679198)
('1室&西', 6.432946145723337)
('2室&东', 9.49968454258675)
('2室&北', 10.263313609467456)
('2室&南', 10.72438307619171)
('2室&暂', 1.4973237142192226)
('2室&西', 9.129749768303984)
('3室&东', 6.182552504038772)
('3室&北', 5.9837837837837835)
('3室&南', 9.178743332899701)
('3室&暂', 1.3683453237410073)
('3室&西', 5.920930232558139)
('4室&东', 4.904761904761905)
('4室&北', 1.4772727272727273)
('4室&南', 8.37704918032787)
('4室&暂', 1.5217391304347827)
('4室&西', 4.4520547945205475)
('5室及以上&东', 10.571428571428571)
('5室及以上&北', 0.2028985507246377)
('5室及以上&南', 6.245874587458746)
('5室及以上&暂', 0.26895306859205775)
('5室及以上&西', 19.0)
('车位&东', 0.8)
('车位&北', 0.14285714285714285)
('车位&南', 0.7073170731707317)
('车位&暂', 0.2)
('车位&西', 0.5)
